443,臨床医学各論,1,第26回,問題64,1 感染症,A. 感染と病態,感染症に罹患しやすいのはどれか。,1. 血友病,2. 悪性リンパ腫,3. 鉄欠乏性貧血,4. 遺伝性球状赤血球症,2,2：**悪性リンパ腫**の原因は明らかではないが、特定のウイルスや細菌などの病原体との関連性も示されている。また、免疫不全者に多いとの報告もあり、**日和見感染症**の危険性が高いと考えられる。1：血友病は、主に遺伝によって生じる血液凝固異常であり、3：鉄欠乏性貧血は、消化管出血や月経異常などが原因となる。また、4：遺伝性球状赤血球症は、赤血球の遺伝的異常により貧血をきたす疾患である。
444,臨床医学各論,2,第27回,問題69,1 感染症,A. 感染と病態,感染症について正しいのはどれか。,1. ムンプスウイルスは空気感染する。,2. MRSAは院内感染の原因となる。,3. ボツリヌス菌による食中毒の主たる症状は血便である。,4. 風疹は精巣炎を合併する。,2,1：**ムンプスウイルス**は、**飛沫感染**と接触感染である。2：**メチシリン耐性黄色ブドウ球菌（MRSA）**は、院内感染の代表的な原因菌である。3：**ボツリヌス菌**食中毒の主な症状は、運動麻痺症状である。思春期以降の男性が流行性耳下腺炎を発症すると、25%の確率で**精巣炎**を合併する。
445,臨床医学各論,3,第28回,問題69,1 感染症,A. 感染と病態,潜伏期間が最も長いのはどれか。,1. 流行性耳下腺炎,2. エイズ,3. ジフテリア,4. 破傷風,2,1：流行性耳下腺炎はムンプスウイルスが病原体であり、潜伏期間は2〜3週間とされている。2：**エイズ**はヒト免疫不全ウイルス（HIV）を病原体として、潜伏期間は**6か月〜15年以上**と幅広い。3：ジフテリアはジフテリア菌が病原体であり、潜伏期間は2〜5日である。4：破傷風は嫌気性グラム陰性桿菌を病原体として、潜伏期間は3日〜3週間である。
446,臨床医学各論,4,第29回,問題65,1 感染症,A. 感染と病態,院内感染と関連が深いのはどれか。,1. 破傷風菌,2. MRSA,3. 肺炎球菌,4. ボツリヌス菌,2,2：**MRSA**は、メチシリンを含むほとんどのβ-ラクタム系薬（抗菌薬）に対して耐性を獲得した黄色ブドウ球菌であり、代表的な院内感染の病原細菌の1つである。
447,臨床医学各論,5,第30回,問題65,1 感染症,A. 感染と病態,感染症と媒介生物の組合せで正しいのはどれか。,1. 発疹チフス ―― ダニ,2. トキソプラズマ症 ―― シラミ,3. デング熱 ―― 蚊,4. 日本脳炎 ―― ネズミ,3,1：発疹チフスは**コロモジラミ**を媒介昆虫とするリケッチアによる感染症である。2：トキソプラズマ症はトキソプラズマ原虫の**経口感染**であり、昆虫媒介感染ではない。3：**デング熱**は**ネッタイシマカやヒトスジシマカ**によって媒介されるデングウイルスによる感染症である。4：日本脳炎は**コガタアカイエカ**によって媒介される日本脳炎ウイルスによる感染症である。
448,臨床医学各論,6,第29回,問題66,1 感染症,B. 細菌感染症,細菌感染症はどれか。,1. 帯状疱疹,2. 流行性角結膜炎,3. 百日咳,4. 手足口病,3,1：帯状疱疹は**水痘・帯状疱疹ウイルス**による感染症である。2：流行性角結膜炎は**アデノウイルス**による感染症である。3：**百日咳**は**百日咳菌**による感染症である。4：手足口病はコクサッキーウイルスやエンテロウイルスによる感染症である。
449,臨床医学各論,7,第30回,問題67,1 感染症,B. 細菌感染症,予防接種が有効な感染症はどれか。,1. 百日咳,2. 腸チフス,3. C型肝炎,4. 猩紅熱,1,1：**百日咳**は三種混合ワクチン（**百日咳・ジフテリア・破傷風**）が有効な感染症である。
450,臨床医学各論,8,第31回,問題53,1 感染症,B. 細菌感染症,細菌感染症はどれか。,1. デング熱,2. 破傷風,3. 日本脳炎,4. 手足口病,2,1：デング熱は**デングウイルス**によるウイルス感染症である。2：**破傷風**は**破傷風菌**による細菌感染症である。3：日本脳炎は日本脳炎ウイルスによるウイルス感染症である。4：手足口病はコクサッキーウイルス、エンテロウイルスによるウイルス感染症である。
451,臨床医学各論,9,第31回,問題54,1 感染症,B. 細菌感染症,細菌性腸炎の原因菌と食品の組合せで誤っているのはどれか。,1. サルモネラ属 ―― ハチミツ,2. 腸炎ビブリオ ―― 生鮮魚介類,3. ブドウ球菌 ―― にぎりめし,4. カンピロバクター ―― 鶏肉,1,1：**サルモネラ属** ―― **鶏卵**や生肉、ボツリヌス菌 ―― **ハチミツ**の組合せが正しい。
452,臨床医学各論,10,第33回,問題49,1 感染症,B. 細菌感染症,食中毒の原因となる細菌と食品の組合せで正しいのはどれか。,1. サルモネラ属 ―― 魚介類,2. 腸炎ビブリオ ―― レバー,3. ブドウ球菌 ―― 鶏肉,4. カンピロバクター ―― 鶏肉,4,1：サルモネラは**鶏卵**、生肉などが原因となる。2：腸炎ビブリオは**生魚介類**などが原因となる。3：カンピロバクターは**鶏肉**、生乳などが原因となる。4：腸管出血性大腸菌は**ハンバーガー、生乳、アップルサイダー**などが原因となる。
