全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1139,東洋医学臨床論,1,第25回,124,1 診断の意義と治療計画,A. 臨床診断の意義と過程,肩甲上腕関節の拘縮の所見はどれか。,1. 自動運動より他動運動の可動域が大きい,2. 疼痛は夜間に増悪する,3. 関節裂隙が狭小化している,4. X線では骨棘が認められる,1
1140,東洋医学臨床論,2,第26回,125,1 診断の意義と治療計画,A. 臨床診断の意義と過程,医療面接で開放的質問に相当するのはどれか。,1. 今日はどうされましたか,2. お仕事は何ですか,3. 昨日より楽になりましたか,4. ご家族に同じような症状の方がいますか,1
1141,東洋医学臨床論,3,第31回,127,1 診断の意義と治療計画,A. 臨床診断の意義と過程,医療面接の態度について最も適切なのはどれか。,1. 患者の正面に座る,2. 患者を見つめながら聞く,3. メモをしながら聞く,4. うなずきながら聞く,4
1142,東洋医学臨床論,4,第26回,120,1 診断の意義と治療計画,A. 臨床診断の意義と過程,季節に応ずる脈状で、8月下旬に鍼灸治療を行う場合、難経十五難に基づく配穴で適切なのはどれか。,1. 沈細で数脈を呈するため、栄穴で補法を行う。,2. 浮数で滑脈を呈するため、腧穴で瀉法を行う。,3. 沈細で弦脈を呈するため、栄穴で瀉法を行う。,4. 浮数で弦脈を呈するため、腧穴で補法を行う。,4
1143,東洋医学臨床論,5,第32回,147,1 診断の意義と治療計画,A. 臨床診断の意義と過程,足陽明経の経脈病証でみられるのはどれか。,1. 口が歪む。,2. 口が渇く。,3. 目が黄色くなる。,4. 涙が止まらない。,2
1144,東洋医学臨床論,6,第33回,150,1 診断の意義と治療計画,A. 臨床診断の意義と過程,次の症例の経脈病証はどれか。「53歳の男性。空腹感があるが食欲がない。下肢の冷感あり。」,1. 足太陰脾経,2. 足厥陰肝経,3. 足少陰腎経,4. 足陽明胃経,3
1145,東洋医学臨床論,7,第29回,127,1 診断の意義と治療計画,B. 治療計画,鍼施術で気胸を起こすリスクが最も高い経穴はどれか。,1. 天宗,2. 身柱,3. 附分,4. 膈兪,4
1146,東洋医学臨床論,8,第33回,143,2 診察法と記録法,A. 診察法,体調管理を目的に来院した患者に脈診をしたところ、軽く軟らかで、力なく浮いている脈が認められた。この脈は？,1. 沈脈,2. 細脈,3. 弱脈,4. 弦脈,3
1147,東洋医学臨床論,9,第33回,147,2 診察法と記録法,A. 診察法,次の症例でみられる痰の性状で最も適切なのはどれか。「27歳の男性。主訴は咳と痰。咳が続き、痰は粘った黄色である。」,1. 白くてさらさらした痰,2. 粘った黄色の痰,3. 血が混じった痰,4. 泡沫状の痰,2
1148,東洋医学臨床論,10,第25回,131,2 診察法と記録法,A. 診察法,次の文で示す症例で行った検査法はどれか。「55歳の男性。最近、耳の聞こえが悪くなり来院した。対側の耳をふさぎ音声を聞かせた。」,1. 音叉検査,2. 反射検査,3. ウェーバー検査,4. リンネ検査,3
1149,東洋医学臨床論,11,第31回,140,2 診察法と記録法,A. 診察法,詐病が疑われる腰痛患者に対して、坐位で膝を他動的に伸展させるのはどれか。,1. ケンボール徴候,2. ケルニッヒ徴候,3. ラセーグ徴候,4. パトリック徴候,1
1150,東洋医学臨床論,12,第34回,127,2 診察法と記録法,A. 診察法,次の徒手検査はどれか。「患者を背臥位にして、股関節・膝関節屈曲90度から膝関節のみを伸展させる。」,1. ラセーグ徴候,2. ケルニッヒ徴候,3. ケンボール徴候,4. アドソン徴候,2
1151,東洋医学臨床論,13,第25回,121,2 診察法と記録法,B. 記録法,鍼灸治療についてSOAP形式で記録する場合、Aに該当するのはどれか。,1. 医療面接の内容,2. 検査・診断,3. 治療方針,4. 治療内容,2
1152,東洋医学臨床論,14,第27回,125,2 診察法と記録法,B. 記録法,上腕骨外側上顆炎の患者に対するSOAP方式による記録で、Pに相当するのはどれか。,1. タオルしぼりで痛みがある,2. 上腕骨外側上顆部の圧痛,3. ストレッチと筋力強化運動,4. 急性炎症期の治療,3
1153,東洋医学臨床論,15,第28回,124,2 診察法と記録法,B. 記録法,腰部脊柱管狭窄症に対する診療においてSOAP形式で記録する場合、Aに該当するのはどれか,1. 患者主訴と医療面接内容,2. 圧痛点と筋力低下,3. 温熱療法と牽引,4. 手術の適応判定,1
